RootPos, (0.05858317, 0.85695000, 0.38059550)
Hand_Start, (0.00000000, 0.00000000, 0.00000000)
Hand_ForearmStub, (0.00000000, 0.00000000, 0.00000000)
Hand_Thumb0, (0.02006930, 0.01155407, 0.01049652)
Hand_Thumb1, (0.03446434, 0.01601562, 0.03025829)
Hand_Thumb2, (0.05882879, 0.02269010, 0.05072567)
Hand_Thumb3, (0.08850455, 0.02843898, 0.06583444)
Hand_Index1, (0.09599623, 0.00731644, 0.02355068)
Hand_Index2, (0.13337820, 0.01229766, 0.01951836)
Hand_Index3, (0.15424680, 0.02445013, 0.01678238)
Hand_Middle1, (0.09564660, 0.00254315, 0.00172591)
Hand_Middle2, (0.13714310, 0.01171117, -0.00433369)
Hand_Middle3, (0.16008260, 0.02661653, -0.00758742)
Hand_Ring1, (0.08869380, 0.00652929, -0.01746525)
Hand_Ring2, (0.12660140, 0.01296693, -0.02396672)
Hand_Ring3, (0.14854810, 0.02781675, -0.02595895)
Hand_Pinky0, (0.03407357, 0.00941985, -0.02299858)
Hand_Pinky1, (0.07789586, 0.01369120, -0.03505408)
Hand_Pinky2, (0.10770260, 0.01715428, -0.04163494)
Hand_Pinky3, (0.12481200, 0.02780078, -0.04417936)
Hand_ThumbTip, (0.10663910, 0.03285893, 0.08189092)
Hand_IndexTip, (0.17299530, 0.03604098, 0.01285757)
Hand_MiddleTip, (0.18131520, 0.03933471, -0.01106054)
Hand_RingTip, (0.16861540, 0.04165152, -0.02652036)
Hand_PinkyTip, (0.14316480, 0.03985387, -0.04401269)
RootPos, (0.05849495, 0.85518710, 0.38093990)
Hand_Start, (0.00000000, 0.00000000, 0.00000000)
Hand_ForearmStub, (0.00000000, 0.00000000, 0.00000000)
Hand_Thumb0, (0.02006931, 0.01155411, 0.01049651)
Hand_Thumb1, (0.03445040, 0.01598708, 0.03027484)
Hand_Thumb2, (0.05880944, 0.02260929, 0.05076564)
Hand_Thumb3, (0.08844574, 0.02826230, 0.06598756)
Hand_Index1, (0.09599623, 0.00731646, 0.02355070)
Hand_Index2, (0.13338260, 0.01240949, 0.01970361)
Hand_Index3, (0.15420890, 0.02465827, 0.01707684)
Hand_Middle1, (0.09564660, 0.00254314, 0.00172590)
Hand_Middle2, (0.13711600, 0.01190533, -0.00422092)
Hand_Middle3, (0.15996490, 0.02696561, -0.00739849)
Hand_Ring1, (0.08869381, 0.00652931, -0.01746525)
Hand_Ring2, (0.12653940, 0.01331204, -0.02397715)
Hand_Ring3, (0.14830210, 0.02843472, -0.02593448)
Hand_Pinky0, (0.03407356, 0.00941984, -0.02299859)
Hand_Pinky1, (0.07789585, 0.01369120, -0.03505408)
Hand_Pinky2, (0.10765830, 0.01741454, -0.04169293)
Hand_Pinky3, (0.12462320, 0.02829771, -0.04420335)
Hand_ThumbTip, (0.10645460, 0.03255340, 0.08221946)
Hand_IndexTip, (0.17291890, 0.03634418, 0.01325125)
Hand_MiddleTip, (0.18109470, 0.03987507, -0.01079177)
Hand_RingTip, (0.16817170, 0.04255377, -0.02645066)
Hand_PinkyTip, (0.14279790, 0.04061682, -0.04398357)
RootPos, (0.05877624, 0.85190330, 0.38190090)
Hand_Start, (0.00000000, 0.00000000, 0.00000000)
Hand_ForearmStub, (0.00000000, 0.00000000, 0.00000000)
Hand_Thumb0, (0.02006930, 0.01155410, 0.01049653)
Hand_Thumb1, (0.03442296, 0.01593087, 0.03030729)
Hand_Thumb2, (0.05877220, 0.02244784, 0.05084343)
Hand_Thumb3, (0.08833208, 0.02791112, 0.06628167)
Hand_Index1, (0.09599625, 0.00731648, 0.02355069)
Hand_Index2, (0.13338570, 0.01264136, 0.02006461)
Hand_Index3, (0.15411670, 0.02509387, 0.01765007)
Hand_Middle1, (0.09564662, 0.00254317, 0.00172592)
Hand_Middle2, (0.13705470, 0.01230756, -0.00399703)
