RootPos, (0.14570190, 0.82529870, 0.34245160)
Hand_Start, (0.00000000, 0.00000000, 0.00000000)
Hand_ForearmStub, (0.00000000, 0.00000000, 0.00000000)
Hand_Thumb0, (-0.02006930, -0.01155407, -0.01049653)
Hand_Thumb1, (-0.03679233, -0.02100290, -0.02626706)
Hand_Thumb2, (-0.06192293, -0.03590520, -0.04053124)
Hand_Thumb3, (-0.09225343, -0.04908727, -0.04747870)
Hand_Index1, (-0.09599626, -0.00731648, -0.02355066)
Hand_Index2, (-0.13154920, -0.02052405, -0.02338734)
Hand_Index3, (-0.14794130, -0.03845669, -0.02276244)
Hand_Middle1, (-0.09564664, -0.00254313, -0.00172590)
Hand_Middle2, (-0.13611830, -0.01562192, 0.00408077)
Hand_Middle3, (-0.15577440, -0.03474540, 0.00670996)
Hand_Ring1, (-0.08869385, -0.00652930, 0.01746526)
Hand_Ring2, (-0.12547830, -0.01678783, 0.02536233)
Hand_Ring3, (-0.14447130, -0.03526717, 0.02734323)
Hand_Pinky0, (-0.03407359, -0.00941982, 0.02299858)
Hand_Pinky1, (-0.07789587, -0.01369116, 0.03505407)
Hand_Pinky2, (-0.10607360, -0.01830925, 0.04638710)
Hand_Pinky3, (-0.12266810, -0.02830273, 0.05249487)
Hand_ThumbTip, (-0.11277050, -0.06064002, -0.05467537)
Hand_IndexTip, (-0.16293400, -0.05495959, -0.02072999)
Hand_MiddleTip, (-0.17332350, -0.05234251, 0.00935641)
Hand_RingTip, (-0.16194800, -0.05225614, 0.02793886)
Hand_PinkyTip, (-0.14014170, -0.04131616, 0.05522509)
RootPos, (0.14364780, 0.82287720, 0.34563840)
Hand_Start, (0.00000000, 0.00000000, 0.00000000)
Hand_ForearmStub, (0.00000000, 0.00000000, 0.00000000)
Hand_Thumb0, (-0.02006930, -0.01155410, -0.01049651)
Hand_Thumb1, (-0.03679583, -0.02101089, -0.02625859)
Hand_Thumb2, (-0.06222088, -0.03536334, -0.04056465)
Hand_Thumb3, (-0.09274821, -0.04792345, -0.04779646)
Hand_Index1, (-0.09599626, -0.00731645, -0.02355070)
Hand_Index2, (-0.13184860, -0.01968775, -0.02333981)
Hand_Index3, (-0.14860430, -0.03728050, -0.02270361)
Hand_Middle1, (-0.09564662, -0.00254317, -0.00172591)
Hand_Middle2, (-0.13635830, -0.01490898, 0.00396382)
Hand_Middle3, (-0.15624900, -0.03379489, 0.00654488)
Hand_Ring1, (-0.08869381, -0.00652929, 0.01746524)
Hand_Ring2, (-0.12573770, -0.01566743, 0.02552374)
Hand_Ring3, (-0.14502890, -0.03382771, 0.02757296)
Hand_Pinky0, (-0.03407355, -0.00941986, 0.02299858)
Hand_Pinky1, (-0.07789586, -0.01369118, 0.03505407)
Hand_Pinky2, (-0.10630130, -0.01779471, 0.04601023)
Hand_Pinky3, (-0.12307170, -0.02766272, 0.05183487)
Hand_ThumbTip, (-0.11343000, -0.05902112, -0.05523395)
Hand_IndexTip, (-0.16378720, -0.05360792, -0.02066590)
Hand_MiddleTip, (-0.17400560, -0.05118955, 0.00914597)
Hand_RingTip, (-0.16269470, -0.05061912, 0.02819078)
Hand_PinkyTip, (-0.14060360, -0.04067293, 0.05417943)
RootPos, (0.14254500, 0.82093100, 0.34900000)
Hand_Start, (0.00000000, 0.00000000, 0.00000000)
Hand_ForearmStub, (0.00000000, 0.00000000, 0.00000000)
Hand_Thumb0, (-0.02006931, -0.01155411, -0.01049652)
Hand_Thumb1, (-0.03691820, -0.02128948, -0.02595572)
Hand_Thumb2, (-0.06283086, -0.03513897, -0.03987750)
Hand_Thumb3, (-0.09360190, -0.04693164, -0.04736402)
Hand_Index1, (-0.09599626, -0.00731644, -0.02355068)
Hand_Index2, (-0.13217130, -0.01870798, -0.02327347)
Hand_Index3, (-0.14910760, -0.03612626, -0.02261579)
Hand_Middle1, (-0.09564661, -0.00254314, -0.00172590)
Hand_Middle2, (-0.13676370, -0.01407663, 0.00264378)
Hand_Middle3, (-0.15684240, -0.03284379, 0.00454589)
Hand_Ring1, (-0.08869379, -0.00652931, 0.01746525)
Hand_Ring2, (-0.12621060, -0.01446767, 0.02454835)
Hand_Ring3, (-0.14570200, -0.03247342, 0.02597101)
Hand_Pinky0, (-0.03407354, -0.00941982, 0.02299858)
Hand_Pinky1, (-0.07789587, -0.01369118, 0.03505407)
Hand_Pinky2, (-0.10663470, -0.01747716, 0.04522701)
Hand_Pinky3, (-0.12330270, -0.02800420, 0.05011702)
Hand_ThumbTip, (-0.11439550, -0.05746760, -0.05529073)
Hand_IndexTip, (-0.16422550, -0.05251276, -0.02056820)
Hand_MiddleTip, (-0.17455800, -0.05036723, 0.00647536)
Hand_RingTip, (-0.16329910, -0.04934804, 0.02592157)
Hand_PinkyTip, (-0.14017610, -0.04201806, 0.05113274)
RootPos, (0.14346190, 0.82028520, 0.34834150)
Hand_Start, (0.00000000, 0.00000000, 0.00000000)
Hand_ForearmStub, (0.00000000, 0.00000000, 0.00000000)
Hand_Thumb0, (-0.02006930, -0.01155409, -0.01049652)
Hand_Thumb1, (-0.03687598, -0.02119311, -0.02606173)
Hand_Thumb2, (-0.06293315, -0.03457441, -0.04017045)
Hand_Thumb3, (-0.09379770, -0.04587885, -0.04801664)
Hand_Index1, (-0.09599626, -0.00731646, -0.02355069)
Hand_Index2, (-0.13237220, -0.01804015, -0.02407233)
Hand_Index3, (-0.14951770, -0.03526326, -0.02381434)
Hand_Middle1, (-0.09564664, -0.00254315, -0.00172593)
Hand_Middle2, (-0.13712700, -0.01296916, 0.00193548)
Hand_Middle3, (-0.15755950, -0.03138351, 0.00348697)
Hand_Ring1, (-0.08869383, -0.00652928, 0.01746525)
Hand_Ring2, (-0.12644840, -0.01362579, 0.02416798)
Hand_Ring3, (-0.14598050, -0.03160891, 0.02528634)
Hand_Pinky0, (-0.03407358, -0.00941984, 0.02299858)
Hand_Pinky1, (-0.07789588, -0.01369121, 0.03505407)
Hand_Pinky2, (-0.10677990, -0.01692588, 0.04500356)
Hand_Pinky3, (-0.12342240, -0.02766297, 0.04950845)
Hand_ThumbTip, (-0.11457050, -0.05601618, -0.05649813)
Hand_IndexTip, (-0.16476580, -0.05156999, -0.02212786)
Hand_MiddleTip, (-0.17534580, -0.04887310, 0.00503500)
Hand_RingTip, (-0.16336160, -0.04870076, 0.02486300)
Hand_PinkyTip, (-0.13999780, -0.04205701, 0.04995294)
RootPos, (0.14463570, 0.82051990, 0.34731860)
Hand_Start, (0.00000000, 0.00000000, 0.00000000)
Hand_ForearmStub, (0.00000000, 0.00000000, 0.00000000)
Hand_Thumb0, (-0.02006932, -0.01155411, -0.01049653)
Hand_Thumb1, (-0.03678781, -0.02099271, -0.02627795)
Hand_Thumb2, (-0.06264575, -0.03444098, -0.04068631)
Hand_Thumb3, (-0.09337790, -0.04589467, -0.04883018)
Hand_Index1, (-0.09599624, -0.00731643, -0.02355069)
Hand_Index2, (-0.13240510, -0.01788673, -0.02462021)
Hand_Index3, (-0.14955290, -0.03510935, -0.02463224)
Hand_Middle1, (-0.09564660, -0.00254313, -0.00172592)
Hand_Middle2, (-0.13722710, -0.01262331, 0.00176457)
Hand_Middle3, (-0.15773220, -0.03096395, 0.00322633)
Hand_Ring1, (-0.08869380, -0.00652934, 0.01746524)
Hand_Ring2, (-0.12644240, -0.01371272, 0.02410890)
Hand_Ring3, (-0.14577820, -0.03191279, 0.02512411)
Hand_Pinky0, (-0.03407355, -0.00941983, 0.02299859)
Hand_Pinky1, (-0.07789586, -0.01369119, 0.03505408)
Hand_Pinky2, (-0.10684470, -0.01690435, 0.04482038)
Hand_Pinky3, (-0.12335630, -0.02796403, 0.04901638)
Hand_ThumbTip, (-0.11399010, -0.05610061, -0.05761563)
Hand_IndexTip, (-0.16477040, -0.05146787, -0.02318759)
Hand_MiddleTip, (-0.17547390, -0.04850816, 0.00466528)
Hand_RingTip, (-0.16288350, -0.04927696, 0.02457136)
Hand_PinkyTip, (-0.13958560, -0.04275381, 0.04902804)
