RootPos, (0.22332570, 0.84538800, 0.30881770)
Hand_Start, (0.00000000, 0.00000000, 0.00000000)
Hand_ForearmStub, (0.00000000, 0.00000000, 0.00000000)
Hand_Thumb0, (-0.02006930, -0.01155410, -0.01049651)
Hand_Thumb1, (-0.03738624, -0.02237962, -0.02465921)
Hand_Thumb2, (-0.06305649, -0.03842977, -0.03651334)
Hand_Thumb3, (-0.09378274, -0.05249628, -0.03644621)
Hand_Index1, (-0.09599625, -0.00731645, -0.02355068)
Hand_Index2, (-0.13051540, -0.02263057, -0.02003158)
Hand_Index3, (-0.14673210, -0.04058892, -0.01775432)
Hand_Middle1, (-0.09564660, -0.00254316, -0.00172590)
Hand_Middle2, (-0.13462910, -0.01943574, 0.00441672)
Hand_Middle3, (-0.15227830, -0.04042957, 0.00701313)
Hand_Ring1, (-0.08869381, -0.00652933, 0.01746524)
Hand_Ring2, (-0.12431090, -0.01921863, 0.02700976)
Hand_Ring3, (-0.14274980, -0.03811048, 0.03005137)
Hand_Pinky0, (-0.03407357, -0.00941982, 0.02299857)
Hand_Pinky1, (-0.07789587, -0.01369119, 0.03505408)
Hand_Pinky2, (-0.10438440, -0.02344625, 0.04717597)
Hand_Pinky3, (-0.11805950, -0.03760446, 0.05218468)
Hand_ThumbTip, (-0.11433180, -0.06510641, -0.04143924)
Hand_IndexTip, (-0.16107200, -0.05742339, -0.01425781)
Hand_MiddleTip, (-0.16742940, -0.06015704, 0.00944397)
Hand_RingTip, (-0.15839540, -0.05678905, 0.03091205)
Hand_PinkyTip, (-0.13228720, -0.05425787, 0.05372339)
RootPos, (0.22320910, 0.84459220, 0.30912510)
Hand_Start, (0.00000000, 0.00000000, 0.00000000)
Hand_ForearmStub, (0.00000000, 0.00000000, 0.00000000)
Hand_Thumb0, (-0.02006930, -0.01155413, -0.01049652)
Hand_Thumb1, (-0.03737744, -0.02235874, -0.02468588)
Hand_Thumb2, (-0.06308615, -0.03830807, -0.03659268)
Hand_Thumb3, (-0.09385026, -0.05229172, -0.03656913)
Hand_Index1, (-0.09599628, -0.00731644, -0.02355069)
Hand_Index2, (-0.13056280, -0.02249106, -0.01989504)
Hand_Index3, (-0.14689490, -0.04033516, -0.01754551)
Hand_Middle1, (-0.09564663, -0.00254317, -0.00172592)
Hand_Middle2, (-0.13464500, -0.01939698, 0.00442289)
Hand_Middle3, (-0.15233470, -0.04035558, 0.00702830)
Hand_Ring1, (-0.08869381, -0.00652928, 0.01746524)
Hand_Ring2, (-0.12432000, -0.01925200, 0.02693130)
